"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"181",11,"Richard Rodgers",FA,"TE26","125","198","163.2","18.7","-3"
"182",11,"Cameron Artis-Payne",FA,"RB58","120","277","168.0","26.1","+48"
"183",11,"Donte Moncrief",FA,"WR69","124","251","169.7","19.4","+16"
"184",11,"Ty Montgomery",NE,"RB59","114","268","168.6","25.4","+24"
"185",11,"David Cobb",FA,"RB60","100","350","141.2","41.2","-15"
"186",11,"Khiry Robinson",FA,"RB61","125","297","176.9","27.8","+41"
"187",11,"Nick Foles",FA,"QB27","127","345","177.8","30.2","-3"
"188",11,"Tyrod Taylor",NYG,"QB28","114","413","173.7","44.8","+30"
"189",11,"James Jones",FA,"WR70","98","233","160.4","26.0","+16"
"190",11,"Christine Michael",FA,"RB62","103","325","156.7","40.9","+24"
"191",11,"Arizona Cardinals",ARI,"DST5","122","234","188.5","15.8","-80"
"192",11,"Lorenzo Taliaferro",FA,"RB63","151","316","188.5","26.8","+62"
"193",11,"Jared Cook",FA,"TE27","118","242","170.8","25.1","+24"
"194",11,"Javorius Allen",FA,"RB64","131","294","185.4","25.5","+101"
"195",11,"Ryan Fitzpatrick",FA,"QB29","156","416","188.5","44.9","+77"
"196",11,"Chris Polk",FA,"RB65","122","314","179.0","39.8","+81"
"197",11,"Dion Lewis",FA,"RB66","132","270","172.7","26.1","+182"
"198",11,"Denver Broncos",DEN,"DST6","130","216","182.1","18.5","-54"
"199",11,"Jeff Janis",FA,"WR71","128","355","177.9","37.6","+38"
"200",11,"Danny Amendola",FA,"WR72","110","313","173.0","40.3","+65"
"201",12,"Lance Dunbar",FA,"RB67","145","303","182.2","27.6","+81"
"202",12,"James Starks",FA,"RB68","148","277","183.4","25.4","+23"
"203",12,"Leonard Hankerson",FA,"WR73","126","221","172.5","26.6","+60"
"204",12,"Tyler Lockett",SEA,"WR74","122","318","171.6","37.9","-27"
"205",12,"Cole Beasley",FA,"WR75","142","280","184.5","26.4","+59"
"206",12,"Jay Ajayi",FA,"RB69","133","384","181.3","42.1","+46"
"207",12,"Marqise Lee",FA,"WR76","145","294","191.8","27.7","+97"
"208",12,"Stedman Bailey",FA,"WR77","141","240","186.7","21.9","+52"
