CHI	WR	16	2	1	50	8	0	8	4	8	0	0	0	0	0	0	0.1	1.8
NYJ	WR	3	1	1	100	8	0	8	8	8	0	0	0	0	0	0	0.6	1.8
CIN	WR	16	2	1	50	6	0	6	3	6	0	0	0	0	2	0	0.1	1.6
PHI	WR	13	3	2	66.7	14	0	8	4.7	7	0	0	0	0	1	1	0.1	1.4
IND	WR	7	3	1	33.3	2	0	2	0.7	2	0	0	0	0	0	0	0.2	1.2
LAC	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATL	WR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DET	WR	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NE	WR	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAX	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIN	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAR	WR	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TB	WR	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIN	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYG	WR	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAX	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	WR	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHI	WR	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIA	WR	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEA	WR	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAX	WR	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	WR	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	WR	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHI	WR	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DET	WR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAR	WR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYJ	WR	3	1	0	0	0	0	0	0	0	2	-3	-1.5	0	0	0	-0.1	-0.3
CHI	WR	16	0	0	0	0	0	0	0	0	0	0	0	0	5	1	-0.1	-2
TEN	WR	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	-1	-2
DEN	WR	15	0	0	0	0	0	0	0	0	1	7	7	0	5	2	-0.2	-3.3
