DET	WR	16	27	13	48.1	157	0	42	5.8	12.1	0	0	0	0	0	0	1.9	30.7
NO	WR	14	26	16	61.5	95	0	21	3.7	5.9	15	44	2.9	0	0	0	2.1	29.9
MIN	WR	8	6	5	83.3	116	2	44	19.3	23.2	0	0	0	0	0	0	3.6	28.6
NE	WR	12	22	12	54.5	184	0	43	8.4	15.3	0	0	0	0	1	1	2.4	28.4
SEA	WR	10	20	10	50	64	1	17	3.2	6.4	4	59	14.8	0	0	0	2.8	28.3
WAS	WR	15	25	12	48	165	0	48	6.6	13.8	1	-4	-4	0	0	0	1.9	28.1
NYG	WR	3	16	10	62.5	87	1	27	5.4	8.7	0	0	0	0	1	0	8.4	25.34
TEN	WR	7	19	9	47.4	160	0	50	8.4	17.8	2	-2	-1	0	0	0	3.5	24.8
LAR	WR	14	20	11	55	133	0	35	6.6	12.1	0	0	0	0	0	0	1.7	24.3
SF	WR	17	20	9	45	87	1	18	4.4	9.7	0	0	0	0	0	0	1.4	23.7
NYG	WR	12	21	11	52.4	105	0	16	5	9.5	0	0	0	0	0	0	1.8	21.5
NYJ	WR	11	23	8	34.8	133	0	40	5.8	16.6	0	0	0	0	0	0	1.9	21.3
DET	WR	8	22	10	45.5	103	0	24	4.7	10.3	0	0	0	0	0	0	2.5	20.3
NE	WR	3	8	4	50	42	2	20	5.2	10.5	0	0	0	0	0	0	6.7	20.2
GB	WR	13	17	9	52.9	98	0	26	5.8	10.9	3	14	4.7	0	0	0	1.6	20.2
NYJ	WR	12	17	8	47.1	113	0	35	6.6	14.1	1	-1	-1	0	0	0	1.6	19.2
TB	WR	9	9	5	55.6	38	0	13	4.2	7.6	2	43	21.5	1	0	0	2.1	19.1
NO	WR	13	23	6	26.1	68	1	22	3	11.3	1	1	1	0	0	0	1.5	18.9
DET	WR	12	10	6	60	54	0	15	5.4	9	0	0	0	0	0	0	1.5	18.4
HOU	WR	6	14	7	50	110	0	36	7.9	15.7	1	0	0	0	0	0	3	18
MIN	WR	15	15	10	66.7	68	0	17	4.5	6.8	0	0	0	0	2	0	1.1	16.8
CAR	WR	6	11	6	54.5	104	0	63	9.5	17.3	1	-3	-3	0	0	0	2.7	16.1
TEN	WR	4	8	5	62.5	49	1	18	6.1	9.8	0	0	0	0	0	0	4	15.9
WAS	WR	13	14	9	64.3	83	0	22	5.9	9.2	1	1	1	0	1	1	1.2	15.4
PIT	WR	3	12	6	50	25	1	10	2.1	4.2	0	0	0	0	0	0	4.8	14.5
KC	WR	12	14	5	35.7	32	1	11	2.3	6.4	0	0	0	0	0	0	1.2	14.2
NO	WR	5	8	4	50	41	1	16	5.1	10.2	0	0	0	0	0	0	2.8	14.1
MIA	WR	8	16	6	37.5	71	0	34	4.4	11.8	1	7	7	0	0	0	1.7	13.8
CIN	WR	7	4	3	75	39	1	18	9.8	13	0	0	0	0	0	0	1.8	12.9
SEA	WR	17	12	7	58.3	59	0	16	4.9	8.4	0	0	0	0	0	0	0.8	12.9
DEN	WR	3	10	5	50	74	0	28	7.4	14.8	0	0	0	0	0	0	4.1	12.4
GB	WR	7	13	8	61.5	58	0	12	4.5	7.2	0	0	0	0	2	1	1.7	11.8
TB	WR	9	12	6	50	43	0	29	3.6	7.2	1	11	11	0	0	0	1.3	11.4
TEN	WR	4	5	2	40	15	1	13	3	7.5	2	15	7.5	0	0	0	2.8	11
CLE	WR	5	4	4	100	64	0	37	16	16	0	0	0	0	0	0	2.1	10.4
CIN	WR	12	11	5	45.5	52	0	19	4.7	10.4	0	0	0	0	0	0	0.8	10.2
IND	WR	8	4	2	50	21	1	14	5.2	10.5	0	0	0	0	0	0	1.3	10.1
WAS	WR	5	9	6	66.7	27	0	10	3	4.5	4	11	2.8	0	0	0	2	9.8
NYG	WR	6	6	4	66.7	51	0	38	8.5	12.8	1	6	6	0	0	0	1.6	9.7
GB	WR	16	8	4	50	45	0	19	5.6	11.2	1	11	11	0	2	0	0.6	9.6
LAC	WR	2	4	3	75	56	0	24	14	18.7	0	0	0	0	0	0	4.3	8.6
MIA	WR	2	8	4	50	26	0	10	3.2	6.5	0	0	0	0	0	0	4.3	8.6
CAR	WR	17	4	3	75	55	0	25	13.8	18.3	0	0	0	0	0	0	0.5	8.5
PIT	WR	15	6	5	83.3	33	0	11	5.5	6.6	0	0	0	0	0	0	0.6	8.3
CAR	WR	9	8	4	50	38	0	15	4.8	9.5	0	0	0	0	0	0	0.9	7.8
NYG	WR	8	11	4	36.4	33	0	15	3	8.2	1	3	3	0	0	0	1	7.6
TEN	WR	3	7	4	57.1	33	0	14	4.7	8.2	0	0	0	0	0	0	2.4	7.3
ARI	WR	5	3	3	100	15	0	10	5	5	1	24	24	0	0	0	1.4	6.9
NYJ	WR	3	6	3	50	36	0	14	6	12	0	0	0	0	0	0	2.2	6.6
ATL	WR	16	10	4	40	25	0	8	2.5	6.2	0	0	0	0	0	0	0.4	6.5
CIN	WR	4	3	2	66.7	41	0	26	13.7	20.5	0	0	0	0	0	0	1.5	6.1
NE	WR	16	3	2	66.7	31	0	22	10.3	15.5	1	9	9	0	3	0	0.4	6
LAC	WR	6	3	3	100	30	0	19	10	10	0	0	0	0	0	0	1	6
PHI	WR	16	5	2	40	36	0	23	7.2	18	0	0	0	0	0	0	0.4	5.6
CIN	WR	7	5	2	40	34	0	25	6.8	17	0	0	0	0	0	0	0.8	5.4
NO	WR	6	5	1	20	38	0	38	7.6	38	0	0	0	0	0	0	0.8	4.8
BUF	WR	15	6	2	33.3	28	0	15	4.7	14	0	0	0	0	0	0	0.3	4.8
CAR	WR	3	7	3	42.9	17	0	7	2.4	5.7	0	0	0	0	0	0	1.6	4.7
IND	WR	5	3	2	66.7	26	0	16	8.7	13	0	0	0	0	0	0	0.9	4.6
DEN	WR	2	1	1	100	34	0	34	34	34	0	0	0	0	0	0	2.2	4.4
KC	WR	16	5	2	40	24	0	16	4.8	12	0	0	0	0	0	0	0.3	4.4
BAL	WR	17	6	2	33.3	23	0	18	3.8	11.5	0	0	0	0	0	0	0.3	4.3
